Timestamp,O_PortionerForward,O_PortionerReverse,O_PortionerSlow,Portions
1529500921650,0,0,0,4
1529500921751,0,0,0,4
1529500921852,0,0,0,4
1529500921952,0,0,0,4
1529500922052,0,0,0,4
1529500922152,0,0,0,4
1529500922252,0,0,0,4
1529500922352,0,0,0,4
1529500922453,0,0,0,4
1529500922553,0,0,0,4
1529500922653,0,0,0,4
1529500922753,0,0,0,4
1529500922853,0,0,0,4
1529500922954,0,0,0,4
1529500923054,0,0,0,4
1529500923154,0,0,0,4
1529500923254,0,0,0,4
1529500923354,0,0,0,4
1529500923455,0,0,0,4
1529500923555,0,0,0,4
1529500923655,0,0,0,4
1529500923755,0,0,0,4
1529500923855,0,0,0,4
1529500923956,0,0,0,4
1529500924056,0,0,0,4
1529500924156,0,0,0,4
1529500924256,0,0,0,4
1529500924356,0,0,0,4
1529500924456,0,0,0,4
1529500924557,0,0,0,4
1529500924657,0,0,0,4
1529500924757,0,0,0,4
1529500924857,0,0,0,4
1529500924957,0,0,0,4
1529500925058,0,0,0,4
1529500925158,0,0,0,4
1529500925258,0,0,0,4
1529500925358,0,0,0,4
1529500925458,0,0,0,4
1529500925558,0,0,0,4
1529500925659,0,0,0,4
1529500925759,0,0,0,4
1529500925859,0,0,0,4
1529500925959,0,0,0,4
1529500926059,0,0,0,4
1529500926160,0,0,0,4
1529500926260,0,0,0,4
1529500926360,0,0,0,4
1529500926460,0,0,0,4
1529500926560,0,0,0,4
1529500926660,0,0,0,4
1529500926761,0,0,0,4
1529500926861,0,0,0,4
1529500926961,0,0,0,4
1529500927061,0,0,0,4
1529500927161,0,0,0,4
1529500927262,0,0,0,4
1529500927362,0,0,0,4
1529500927462,0,0,0,4
1529500927562,0,0,0,4
1529500927662,0,0,0,4
1529500927763,0,0,0,4
1529500927864,0,0,0,4
1529500927964,0,0,0,4
1529500928064,0,0,0,4
1529500928164,0,0,0,4
1529500928265,0,0,0,4
1529500928367,0,0,0,4
1529500928468,0,0,0,4
1529500928568,0,0,0,4
1529500928668,0,0,0,4
1529500928769,0,0,0,4
1529500928869,0,0,0,4
1529500928969,0,0,0,4
1529500929069,0,0,0,4
1529500929169,0,0,0,4
1529500929270,0,0,0,4
1529500929370,0,0,0,4
1529500929470,0,0,0,4
1529500929570,0,0,0,4
1529500929670,0,0,0,4
1529500929770,0,0,0,4
1529500929871,0,0,0,4
1529500929971,0,0,0,4
1529500930071,0,0,0,4
1529500930171,0,0,0,4
1529500930271,0,0,0,4
1529500930372,0,0,0,4
1529500930472,0,0,0,4
1529500930572,0,0,0,4
1529500930672,0,0,0,4
1529500930772,0,0,0,4
1529500930873,0,0,0,4
1529500930973,0,0,0,4
1529500931073,0,0,0,4
1529500931173,0,0,0,4
1529500931273,0,0,0,4
1529500931374,0,0,0,4
1529500931474,0,0,0,4
1529500931574,0,0,0,4
1529500931674,0,0,0,4
1529500931774,0,0,0,4
1529500931874,0,0,0,4
1529500931975,0,0,0,4
1529500932075,0,0,0,4
1529500932175,0,0,0,4
1529500932275,0,0,0,4
1529500932375,0,0,0,4
1529500932476,0,0,0,4
1529500932576,0,0,0,4
1529500932676,0,0,0,4
1529500932776,0,0,0,4
1529500932876,0,0,0,4
1529500932977,0,0,0,4
1529500933077,0,0,0,4
1529500933177,0,0,0,4
1529500933277,0,0,0,4
1529500933377,0,0,0,4
1529500933478,0,0,0,4
1529500933578,0,0,0,4
1529500933678,0,0,0,4
1529500933778,0,0,0,4
1529500933878,0,0,0,4
1529500933979,0,0,0,4
1529500934079,0,0,0,4
1529500934179,0,0,0,4
1529500934279,0,0,0,4
1529500934379,0,0,0,4
1529500934479,0,0,0,4
1529500934580,0,0,0,4
1529500934680,0,0,0,4
1529500934780,0,0,0,4
1529500934882,0,0,0,4
1529500934982,0,0,0,4
1529500935083,0,0,0,4
1529500935183,0,0,0,4
1529500935283,0,0,0,4
1529500935383,0,0,0,4
1529500935483,0,0,0,4
1529500935584,0,0,0,4
1529500935684,0,0,0,4
1529500935784,0,0,0,4
1529500935884,0,0,0,4
1529500935984,0,0,0,4
1529500936085,0,0,0,4
1529500936185,0,0,0,4
1529500936285,0,0,0,4
1529500936385,0,0,0,4
1529500936485,0,0,0,4
1529500936586,0,0,0,4
1529500936686,0,0,0,4
1529500936786,0,0,0,4
1529500936886,0,0,0,4
1529500936986,0,0,0,4
1529500937087,0,0,0,4
1529500937187,0,0,0,4
1529500937287,0,0,0,4
1529500937387,0,0,0,4
1529500937487,0,0,0,4
1529500937587,0,0,0,4
1529500937688,0,0,0,4
1529500937788,0,0,0,4
1529500937888,0,0,0,4
1529500937988,0,0,0,4
1529500938088,0,0,0,4
1529500938189,0,0,0,4
