Timestamp,O_BottleClampClose,O_CapScrewDown,O_CapScrewerGrabberOpenClose,O_CloseCap
1529500926610,0,0,0,0
1529500926710,0,0,0,0
1529500926810,0,0,0,0
1529500926910,0,0,0,0
1529500927011,0,0,0,0
1529500927111,0,0,0,0
1529500927211,0,0,0,0
1529500927311,0,0,0,0
1529500927411,0,0,0,0
1529500927512,0,0,0,0
1529500927612,0,0,0,0
1529500927712,0,0,0,0
1529500927812,0,0,0,0
1529500927912,0,0,0,0
1529500928013,0,0,0,0
1529500928113,0,0,0,0
1529500928213,0,0,0,0
1529500928313,0,0,0,0
1529500928413,0,0,0,0
1529500928514,0,0,0,0
1529500928614,0,0,0,0
1529500928714,0,0,0,0
1529500928814,0,0,0,0
1529500928914,0,0,0,0
1529500929015,0,0,0,0
1529500929115,0,0,0,0
1529500929215,0,0,0,0
1529500929315,0,0,0,0
1529500929415,0,0,0,0
1529500929516,0,0,0,0
1529500929616,0,0,0,0
1529500929716,0,0,0,0
1529500929816,0,0,0,0
1529500929916,0,0,0,0
1529500930017,0,0,0,0
1529500930117,0,0,0,0
1529500930217,0,0,0,0
1529500930317,0,0,0,0
1529500930417,0,0,0,0
1529500930517,0,0,0,0
1529500930618,0,0,0,0
1529500930718,0,0,0,0
1529500930818,0,0,0,0
1529500930918,0,0,0,0
1529500931018,0,0,0,0
1529500931119,0,0,0,0
1529500931219,0,0,0,0
1529500931321,0,0,0,0
1529500931423,0,0,0,0
1529500931523,0,0,0,0
1529500931624,0,0,0,0
1529500931724,0,0,0,0
1529500931824,0,0,0,0
1529500931924,0,0,0,0
1529500932024,0,0,0,0
1529500932125,0,0,0,0
1529500932225,0,0,0,0
1529500932325,0,0,0,0
1529500932425,0,0,0,0
1529500932525,0,0,0,0
1529500932625,0,0,0,0
1529500932726,0,0,0,0
1529500932826,0,0,0,0
1529500932926,0,0,0,0
1529500933026,0,0,0,0
1529500933126,0,0,0,0
1529500933227,0,0,0,0
1529500933327,0,0,0,0
1529500933427,0,0,0,0
1529500933527,0,0,0,0
1529500933627,0,0,0,0
1529500933728,0,0,0,0
1529500933828,0,0,0,0
1529500933928,0,0,0,0
1529500934028,0,0,0,0
1529500934128,0,0,0,0
1529500934229,0,0,0,0
1529500934329,0,0,0,0
1529500934429,0,0,0,0
1529500934529,0,0,0,0
1529500934629,0,0,0,0
1529500934730,0,0,0,0
1529500934830,0,0,0,0
1529500934930,0,0,0,0
1529500935030,0,0,0,0
1529500935130,0,0,0,0
1529500935231,0,0,0,0
1529500935331,0,0,0,0
1529500935431,0,0,0,0
1529500935531,0,0,0,0
1529500935631,0,0,0,0
1529500935731,0,0,0,0
1529500935832,0,0,0,0
1529500935932,0,0,0,0
1529500936032,0,0,0,0
1529500936132,0,0,0,0
1529500936232,0,0,0,0
1529500936333,0,0,0,0
1529500936433,0,0,0,0
1529500936533,0,0,0,0
1529500936633,0,0,0,0
1529500936733,0,0,0,0
1529500936834,0,0,0,0
1529500936934,0,0,0,0
1529500937034,0,0,0,0
1529500937134,0,0,0,0
1529500937234,0,0,0,0
1529500937335,0,0,0,0
1529500937435,0,0,0,0
1529500937535,0,0,0,0
1529500937635,0,0,0,0
1529500937735,0,0,0,0
1529500937835,0,0,0,0
1529500937936,0,0,0,0
1529500938036,0,0,0,0
1529500938136,0,0,0,0
1529500938236,0,0,0,0
1529500938336,0,0,0,0
1529500938437,0,0,0,0
1529500938537,0,0,0,0
1529500938637,0,0,0,0
1529500938737,0,0,0,0
1529500938837,0,0,0,0
1529500938938,0,0,0,0
1529500939038,0,0,0,0
1529500939138,0,0,0,0
1529500939238,0,0,0,0
1529500939338,0,0,0,0
1529500939439,0,0,0,0
1529500939539,0,0,0,0
1529500939639,0,0,0,0
1529500939739,0,0,0,0
1529500939839,0,0,0,0
1529500939940,0,0,0,0
1529500940040,0,0,0,0
1529500940140,0,0,0,0
1529500940240,0,0,0,0
1529500940340,0,0,0,0
1529500940441,0,0,0,0
1529500940541,0,0,0,0
1529500940641,0,0,0,0
1529500940741,0,0,0,0
1529500940841,0,0,0,0
1529500940941,0,0,0,0
1529500941042,0,0,0,0
1529500941142,0,0,0,0
1529500941242,0,0,0,0
1529500941342,0,0,0,0
1529500941442,0,0,0,0
1529500941543,0,0,0,0
1529500941643,0,0,0,0
1529500941743,0,0,0,0
1529500941843,0,0,0,0
1529500941943,0,0,0,0
1529500942043,0,0,0,0
1529500942144,0,0,0,0
1529500942244,0,0,0,0
1529500942344,0,0,0,0
1529500942444,0,0,0,0
1529500942544,0,0,0,0
1529500942645,0,0,0,0
1529500942745,0,0,0,0
1529500942845,0,0,0,0
1529500942945,0,0,0,0
1529500943045,0,0,0,0
1529500943145,0,0,0,0
1529500943246,0,0,0,0
1529500943346,0,0,0,0
1529500943446,0,0,0,0
1529500943546,0,0,0,0
1529500943646,0,0,0,0
1529500943747,0,0,0,0
1529500943847,0,0,0,0
1529500943947,0,0,0,0
1529500944047,0,0,0,0
1529500944147,0,0,0,0
1529500944248,0,0,0,0
1529500944348,0,0,0,0
1529500944448,0,0,0,0
1529500944548,0,0,0,0
1529500944650,0,0,0,0
1529500944751,0,0,0,0
1529500944851,0,0,0,0
1529500944951,0,0,0,0
1529500945053,0,0,0,0
1529500945153,0,0,0,0
1529500945254,0,0,0,0
1529500945354,0,0,0,0
1529500945454,0,0,0,0
1529500945554,0,0,0,0
1529500945654,0,0,0,0
1529500945755,0,0,0,0
1529500945855,0,0,0,0
1529500945955,0,0,0,0
1529500946055,0,0,0,0
1529500946155,0,0,0,0
1529500946256,0,0,0,0
1529500946356,0,0,0,0
1529500946456,0,0,0,0
1529500946556,0,0,0,0
1529500946656,0,0,0,0
1529500946757,0,0,0,0
1529500946857,0,0,0,0
1529500946957,0,0,0,0
1529500947057,0,0,0,0
1529500947157,0,0,0,0
1529500947258,0,0,0,0
1529500947358,0,0,0,0
1529500947458,0,0,0,0
1529500947558,0,0,0,0
1529500947658,0,0,0,0
1529500947759,0,0,0,0
1529500947859,0,0,0,0
1529500947959,0,0,0,0
1529500948059,0,0,0,0
1529500948159,0,0,0,0
1529500948259,0,0,0,0
1529500948360,0,0,0,0
1529500948460,0,0,0,0
1529500948560,0,0,0,0
1529500948660,0,0,0,0
1529500948760,0,0,0,0
1529500948861,0,0,0,0
1529500948961,0,0,0,0
1529500949061,0,0,0,0
1529500949161,0,0,0,0
1529500949261,0,0,0,0
1529500949362,0,0,0,0
1529500949462,0,0,0,0
1529500949562,0,0,0,0
1529500949662,0,0,0,0
1529500949762,0,0,0,0
1529500949862,0,0,0,0
1529500949963,0,0,0,0
1529500950063,0,0,0,0
1529500950163,0,0,0,0
1529500950263,0,0,0,0
1529500950363,0,0,0,0
1529500950464,0,0,0,0
1529500950564,0,0,0,0
1529500950664,0,0,0,0
1529500950764,0,0,0,0
1529500950864,0,0,0,0
1529500950965,0,0,0,0
1529500951065,0,0,0,0
1529500951165,0,0,0,0
1529500951265,0,0,0,0
1529500951367,0,0,0,0
1529500951467,0,0,0,0
1529500951567,0,0,0,0
1529500951667,0,0,0,0
1529500951767,0,0,0,0
1529500951867,0,0,0,0
1529500951968,0,0,0,0
1529500952068,0,0,0,0
1529500952168,0,0,0,0
1529500952268,0,0,0,0
1529500952368,0,0,0,0
1529500952469,0,0,0,0
1529500952569,0,0,0,0
1529500952669,0,0,0,0
1529500952769,0,0,0,0
1529500952869,0,0,0,0
1529500952970,0,0,0,0
